iter	Passed	Remaining
0	1	155
1	2	142
2	4	130
3	4	115
4	5	113
5	7	110
6	8	109
7	9	109
8	10	106
9	11	105
10	12	103
11	14	102
12	15	103
13	16	101
14	18	102
15	19	101
16	20	99
17	21	98
18	22	97
19	24	96
20	25	94
21	26	92
22	27	91
23	28	90
24	29	89
25	30	88
26	32	86
27	33	85
28	34	84
29	35	83
30	36	81
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	71	41
63	71	40
64	72	39
65	73	38
66	74	36
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	92	13
87	93	12
88	94	11
89	95	10
90	95	9
91	96	8
92	97	7
93	97	6
94	98	5
95	99	4
96	99	3
97	100	2
98	101	1
99	101	0
