iter	Passed	Remaining
0	50	50276
1	51	25753
2	53	17659
3	54	13533
4	55	11060
5	56	9414
6	58	8266
7	59	7390
8	60	6710
9	62	6196
10	63	5751
11	65	5393
12	66	5070
13	67	4785
14	69	4567
15	70	4351
16	72	4172
17	73	3992
18	74	3867
19	76	3733
20	77	3633
21	79	3522
22	80	3432
23	82	3336
24	83	3265
25	85	3184
26	86	3112
27	87	3037
28	88	2967
29	89	2905
30	90	2841
31	92	2785
32	93	2726
33	93	2662
34	94	2593
35	94	2542
36	95	2497
37	96	2455
38	97	2407
39	98	2361
40	99	2325
41	100	2288
42	101	2249
43	101	2209
44	102	2174
45	103	2138
46	103	2102
47	104	2068
48	104	2035
49	105	2002
50	105	1970
51	106	1938
52	107	1912
53	107	1887
54	108	1861
55	108	1833
56	109	1806
57	109	1782
58	110	1758
59	110	1733
60	111	1708
61	111	1685
62	111	1663
63	112	1641
64	112	1621
65	113	1601
66	113	1580
67	113	1560
68	114	1540
69	114	1520
70	114	1502
71	115	1484
72	115	1466
73	115	1448
74	116	1431
75	116	1415
76	116	1398
77	116	1382
78	117	1367
79	117	1352
80	117	1337
81	118	1322
82	118	1306
83	118	1292
84	118	1279
85	119	1265
86	119	1252
87	119	1239
88	119	1227
89	120	1214
90	120	1202
91	120	1190
92	120	1178
93	121	1166
94	121	1155
95	121	1143
96	121	1132
97	122	1123
98	122	1112
99	122	1102
100	122	1092
101	122	1082
102	123	1072
103	123	1063
104	123	1053
105	123	1044
106	124	1035
107	124	1026
108	124	1017
109	124	1009
110	124	1000
111	125	992
112	125	984
113	125	976
114	125	968
115	125	960
116	126	952
117	126	944
118	126	937
119	126	929
120	126	922
121	127	915
122	127	908
123	127	901
124	127	894
125	128	888
126	128	881
127	128	875
128	128	869
129	128	862
130	129	856
131	129	850
132	129	844
133	129	838
134	129	832
135	130	827
136	130	821
137	130	815
138	130	811
139	131	805
140	131	800
141	131	794
142	131	789
143	131	784
144	132	779
145	132	774
146	132	769
147	132	764
148	133	761
149	133	756
150	133	751
151	133	747
152	134	742
153	134	737
154	134	733
155	134	729
156	134	724
157	135	720
158	135	716
159	135	711
160	135	707
161	135	703
162	136	698
163	136	694
164	136	691
